,name,price,region,distillery,bottler,age,ABV,chill_filter,cask_strength,maturation_bourbon,maturation_brandy,maturation_marsala,maturation_oak,maturation_port,maturation_red wine,maturation_rum,maturation_rye,maturation_sauternes,maturation_sherry,maturation_white wine,maturation_wine,token_unified
12,Macallan 28 Year Old (That Boutique-y Whisky Company),974.54,Speyside Whisky,The Macallan,That Boutique-y Whisky Company,28.0,40.2,,,,,,,,,,,,,,,"['vanilla', 'dark', 'honey', 'juicy', 'apple', 'slightly', 'astringent', 'oak', 'spice', 'ginger', 'clove', 'rich', 'earth', 'blackberry', 'compote', 'lick', 'liquorice', 'present', 'initial', 'flurry', 'dusty_oak', 'leather', 'ripe', 'peach', 'red', 'apple', 'refined', 'malt', 'thick', 'cut', 'marmalade', 'fluffy', 'white', 'bloomer', 'bread', 'barley', 'sugar', 'caramel', 'supple', 'wood', 'tannin', 'flash', 'red_chilli', 'heat', 'long', 'gentle', 'subtle', 'oak', 'spice', 'prickle', 'delicate', 'golden', 'barley', 'sweet']"
13,The Macallan 18 Year Old Sherry Oak (2021 Release),338.24,Speyside Whisky,The Macallan,The Macallan,18.0,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['soft', 'rich', 'spice', 'clove', 'orange', 'mature_oak', 'dry', 'fruit', 'ginger', 'vanilla', 'cinnamon', 'fruit', 'ginger', 'orange_zest']"
14,Seaweed & Aeons & Digging & Fire & Cask Strength 10 Year Old (Batch 04),57.28,Islay Whisky,Seaweed & Aeons & Digging & Fire,Seaweed & Aeons & Digging & Fire,10.0,58.3,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['coastal', 'core', 'solid', 'seaweed', 'salt', 'slightly', 'wave', 'sultana', 'date', 'mocha', 'roasted', 'fruit', 'driftwood', 'glass', 'apricot_jam', 'oatcake', 'gingerbread', 'support', 'meat', 'finish', 'cinnamon', 'chocolate', 'peanut']"
15,Seaweed & Aeons & Digging & Fire 10 Year Old,37.78,Islay Whisky,Seaweed & Aeons & Digging & Fire,Seaweed & Aeons & Digging & Fire,10.0,40.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['balanced', 'force', 'sherry', 'good', 'way', 'rich', 'power', 'sherry', 'core', 'peat', 'solid', 'red', 'apple', 'sweet', 'way', 'oaken', 'vanilla', 'good', 'elegantly', 'ember', 'chargrilled', 'aged', 'steak']"
16,Lagavulin 16 Year Old,79.06,Islay Whisky,Lagavulin,Lagavulin,16.0,43.0,,,,,,,,,,,,,,,"['thick', 'rich', 'massive', 'mouth', 'malt', 'sherry', 'good', 'fruit', 'sweet', 'sweet', 'big', 'power', 'peat', 'oak', 'like', 'lapsang_souchong', 'tea', 'lapsang_souchong', 'nose', 'islay_big', 'concentrated', 'redolent', 'iodine', 'sweet', 'spice', 'good', 'mature', 'sherry', 'cream', 'vanilla', 'stunning', 'long', 'finish', 'fig', 'date', 'peat', 'smoke', 'vanilla']"
17,Balvenie 12 Year Old - The Sweet Toast of American Oak,49.02,Speyside Whisky,Balvenie,Balvenie,12.0,43.0,,,,,,,,,,,,,,,"['candy', 'orange', 'lemon', 'peel', 'vanilla', 'toffee', 'butterscotch', 'layer', 'blossom', 'honey', 'brown_sugar', 'oak', 'spice', 'lusciously', 'malt', 'sweet', 'fudge', 'citrus', 'oak', 'vanilla', 'aroma', 'layer', 'oak', 'ginger', 'cinnamon', 'rich', 'malt', 'gentle', 'wave', 'oak', 'vanilla', 'subtle', 'spice']"
18,The Macallan 18 Year Old Double Cask,297.54,Speyside Whisky,The Macallan,The Macallan,18.0,43.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['rich', 'raisin', 'sultana', 'caramel', 'vanilla', 'ginger', 'wood', 'spice', 'zest', 'citrus', 'fruit', 'ginger', 'toffee', 'rich', 'orange', 'clove', 'nutmeg', 'warm', 'oak', 'spice', 'ginger', 'sweet', 'orange']"
19,Bunnahabhain 12 Year Old,42.89,Islay Whisky,Bunnahabhain,Bunnahabhain,12.0,46.3,,,,,,,,,,,,,,,"['soft', 'supple', 'sherry', 'nutty', 'sweet', 'malt', 'juicy', 'sultana', 'slightly', 'coastal', 'fresh', 'sweet', 'seaweed', 'malt', 'sherry', 'mochaccino', 'herbal', 'balanced', 'salt', 'tang']"
20,Glenfarclas 105,54.93,Speyside Whisky,Glenfarclas,Glenfarclas,10.0,60.0,,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['silken', 'pepper', 'oak', 'almond', 'praline', 'hazelnut', 'peel', 'fruit', 'armagnac', 'rancio', 'great', 'depth', 'sherry', 'cream', 'nutty', 'honey', 'toast', 'coffee', 'long', 'pepper', 'nutty']"
21,Tamdhu 12 Year Old (43%),46.96,Speyside Whisky,Tamdhu,Tamdhu,12.0,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['lot', 'plum', 'juicy', 'raisin', 'banana', 'raspberry', 'jam', 'doughnut', 'oak', 'spice', 'orange', 'starburst', 'cinnamon', 'swirl', 'toasted', 'oak', 'mint', 'chocolate', 'chocolate', 'fudge', 'smoke', 'sweet', 'cinnamon']"
22,Glengoyne 15 Year Old 2005 (cask 14639) - Old Particular (Douglas Laing) - Master of Malt Exclusive,85.94,Highland Whisky,Glengoyne,Douglas Laing,15.0,58.4,,True,,,,,,,,,,,,,"['tang', 'marmalade', 'cassia', 'milk', 'biscuit', 'nut', 'honey', 'sticky_toffee', 'pudding', 'lemon_meringue', 'pie', 'buttered', 'brown_bread', 'wood', 'spice', 'nutmeg', 'orange', 'finish']"
23,Glenfarclas 21 Year Old,107.72,Speyside Whisky,Glenfarclas,Glenfarclas,21.0,43.0,,,,,,,,,,,,,,,"['incredibly', 'smooth', 'barley', 'rich', 'textbook', 'smooth', 'rounded', 'character', 'sip', 'apple', 'orange', 'sherry', 'peppermint', 'long', 'barley', 'rich', 'smooth', 'oak', 'influence']"
24,Edradour 10 Year Old,45.75,Highland Whisky,Edradour,Edradour,10.0,40.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['cloying', 'seductive', 'murky', 'rum', 'barley', 'almond', 'mêlée', 'method', 'mad', 'medium', 'great', 'thoroughly', 'fruit', 'sherry', 'sweet', 'alluring', 'vanilla', 'confusion', 'fruitcake', 'crème', 'anglaise']"
25,Lagavulin 12 Year Old (Special Release 2021),146.77,Islay Whisky,Lagavulin,Lagavulin,12.0,56.5,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['black_pepper', 'saline', 'wood', 'smoke', 'wood', 'tannin', 'sweet', 'toffee', 'smoke', 'restrained', 'maritime', 'distant', 'bonfire', 'lime', 'bacon', 'frazzles', 'black_pepper', 'salt', 'citrus']"
26,Glenfarclas 25 Year Old,154.73,Speyside Whisky,Glenfarclas,Glenfarclas,25.0,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['incredibly', 'clean', 'central', 'amazingly', 'tang', 'sherry', 'cream', 'barley', 'gingerbread', 'nutty', 'chocolate', 'menthol', 'classic', 'sherry', 'pronounced', 'year_old', 'great', 'long', 'complex', 'finish', 'oak', 'rich', 'smoke', 'cocoa', 'butter']"
27,The Macallan 12 Year Old Double Cask,60.72,Speyside Whisky,The Macallan,The Macallan,12.0,40.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['cream', 'honeyed', 'thick', 'cut', 'marmalade', 'cinnamon', 'warm', 'pastry', 'classic', 'fruit', 'intense', 'sherry', 'oak', 'expression', 'aromatic', 'butterscotch', 'fruit', 'vanilla', 'sultana']"
28,Glenmorangie Signet,160.47,Highland Whisky,Glenmorangie,Glenmorangie,,46.0,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['sweet', 'syrup', 'cinnamon', 'malt', 'lead', 'suggestion', 'terry', 'chocolate', 'orange', 'lime', 'rind', 'present', 'lychee', 'date', 'backdrop', 'tobacco_leave', 'freshly', 'espresso_bean', 'honey', 'roasted', 'cashew', 'chocolate', 'raisin', 'mixed_peel', 'toasted', 'spice', 'bread', 'butter', 'pudding', 'golden_syrup', 'complement', 'aroma', 'angostura', 'bitter', 'beneath', 'finish', 'pleasantly', 'rubber', 'truffle', 'oil']"
29,GlenAllachie 15 Year Old,73.32,Speyside Whisky,GlenAllachie,GlenAllachie,15.0,46.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['walnut', 'raisin', 'christmas', 'spice', 'fresh', 'ginger', 'peanut_brittle', 'date', 'big', 'scoop', 'chocolate', 'ice_cream', 'coffee', 'turkish_delight', 'sea_salt']"
30,Craigellachie 17 Year Old,,Speyside Whisky,Craigellachie,Craigellachie,17.0,46.0,,,,,,,,,,,,,,,"['sweet', 'pineapple', 'custard', 'cream', 'meat', 'soon', 'smoke', 'clove', 'oak', 'apple', 'melon', 'raisin', 'barley', 'smoke', 'vanilla', 'ice_cream', 'wax', 'finish']"
31,Caol Ila 18 Year Old,93.77,Islay Whisky,Caol Ila,Caol Ila,18.0,43.0,,,,,,,,,,,,,,,"['big', 'refined', 'sweet', 'leaf', 'oak', 'smoke', 'oil', 'peat', 'barley', 'aromatic', 'dark', 'herbal', 'vegetal', 'grass', 'cream', 'malt', 'long', 'herbal', 'gentle', 'smoke', 'soft', 'peat', 'oil', 'wood']"
32,Octomore 12.2 5 Year Old,160.47,Islay Whisky,Bruichladdich,Bruichladdich,5.0,57.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['smoke', 'fresh', 'peach', 'pear_drop', 'golden_syrup', 'honeydew_melon', 'orange_peel', 'honey', 'nut', 'earth', 'oak', 'smoke', 'petrichor', 'lemon', 'peel', 'brown_sugar']"
33,Tamdhu 15 Year Old,85.94,Speyside Whisky,Tamdhu,Tamdhu,15.0,46.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['heavy', 'fruit', 'orange_oil', 'apricot', 'earth', 'vanilla', 'later', 'cedar', 'leather', 'cinnamon', 'charred', 'pineapple', 'earth', 'barley', 'heart', 'slice', 'dense', 'fruitcake', 'toast', 'oak', 'warmth', 'orange_zest', 'fennel', 'warm', 'sweet', 'waxy_peel', 'clove', 'chocolate', 'ice_cream', 'oily_walnut']"
34,Ardbeg Uigeadail,58.77,Islay Whisky,Ardbeg,Ardbeg,,54.2,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['sweet', 'ripe', 'fruit', 'black_forest', 'honey', 'good_helping', 'malt', 'throne', 'power', 'peat', 'barley', 'multifaceted', 'peat', 'flourish', 'dark', 'sugar', 'freshly', 'ground', 'espresso_bean', 'cereal', 'sophisticated', 'tar', 'long', 'caramel', 'malt', 'way', 'peat', 'smoke', 'dark', 'sugar', 'fresh', 'espresso', 'coffee', 'finally']"
35,Glen Moray 1998 Barolo Finish - Warehouse 1,160.47,Speyside Whisky,Glen Moray,Glen Moray,,52.9,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['anise', 'cocoa', 'cream', 'vanilla', 'jammy', 'berry', 'cinnamon', 'caramel', 'sweet', 'raisin', 'blueberry_pancake', 'maple', 'millionaire', 'shortbread', 'spice', 'ginger', 'malt_loaf', 'sultanas', 'sweet', 'oak']"
36,Dalmore 15 Year Old,76.76,Highland Whisky,Dalmore,Dalmore,15.0,40.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['medium', 'zest', 'orange', 'curaçao', 'chocolate', 'winter_spice', 'stem_ginger', 'syrup', 'anise', 'chocolate', 'orange', 'potpourri', 'perfumed', 'fruitcake', 'sherry', 'malt', 'barley', 'espresso']"
37,Glen Elgin 14 Year Old - Derestricted,68.74,Speyside Whisky,Glen Elgin,Derestricted,14.0,53.4,,,,,,,,,,,,,,,"['golden', 'grahams', 'maple_syrup', 'peach', 'campino', 'sweetie', 'fruit', 'bun', 'heavy', 'nutmeg', 'oily_hop', 'buttered', 'apple', 'cinnamon', 'lot', 'icing', 'nutty', 'brown_bread', 'milky_tea', 'subtle', 'straw', 'softly', 'malt', 'stone_fruit', 'banana_bread']"
38,Glenmorangie Barrel Select Release 13 Year Old Cognac Cask Finish,85.94,Highland Whisky,Glenmorangie,Glenmorangie,13.0,46.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['orange_oil', 'butter', 'biscuit', 'clove', 'almond', 'warm', 'pastry', 'fruit', 'spiced', 'apple', 'soft', 'cedar', 'smidge', 'earth', 'forest_floor', 'yellow_plum', 'leather', 'oak', 'spice', 'red', 'fruit', 'sweet']"
39,Phenolix 10 Year Old,40.08,Islay Whisky,Phenolix,Phenolix,10.0,40.0,,,,,,,,,,,,,,,"['smoke', 'ripple', 'apple', 'chip', 'red_chilli', 'flake', 'milk_chocolate', 'sea', 'shore', 'roast_chestnut', 'grass', 'distant', 'bonfire', 'apricot_jam', 'pear', 'meaty_malt', 'cask_char', 'dollop', 'creme', 'patissiere']"
40,Aberlour A'Bunadh Batch 68,91.68,Speyside Whisky,Aberlour,Aberlour,,61.5,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['sweet', 'oloroso', 'christmas_pudding', 'pepper', 'prickle', 'background', 'waft', 'oak', 'malt_loaf', 'brioche', 'golden_syrup', 'chocolate', 'raisin', 'fruit', 'cake', 'glorious', 'mouthfeel', 'long', 'pepper', 'oak', 'chocolate', 'raisin', 'milk', 'biscuit']"
41,Talisker 8 Year Old (Special Release 2021),103.14,Island Whisky,Talisker,Talisker,8.0,59.7,,,,,,,,,,,,,,,"['lot', 'black_pepper', 'smoke', 'heather_honey', 'peach', 'sweet', 'initially', 'vanilla', 'sponge_cake', 'bonfire_beach', 'salt', 'seaweed', 'stone_fruit', 'fruit', 'black_pepper', 'chilli', 'caramel', 'long', 'fiery']"
42,Laphroaig 10 Year Old,41.17,Islay Whisky,Laphroaig,Laphroaig,10.0,40.0,,,,,,,,,,,,,,,"['seaweed', 'vanilla', 'ice_cream', 'whiff', 'aid', 'box', 'tcp', 'plaster', 'etc', 'oak', 'big', 'way', 'fore', 'whisky', 'tongue', 'upsurge', 'spice', 'cardamom', 'black_pepper', 'chilli', 'big', 'muscular', 'peat', 'spice', 'liquorice', 'big', 'dose', 'salt', 'whisky', 'slightly', 'sweet', 'recent', 'year', 'beauty', 'classic', 'iodine', 'plaster', 'cool_wood', 'smoke', 'big', 'savoury', 'tarry', 'iodine']"
43,Talisker 10 Year Old,46.15,Island Whisky,Talisker,Talisker,10.0,45.8,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['bonfire', 'peat', 'crackling', 'black_pepper', 'brine', 'dry', 'barley', 'welcome', 'orchard_fruit', 'delicate', 'beauty', 'balance', 'fresh', 'fragrant', 'thick', 'pungent', 'smoke', 'sweet', 'pear', 'apple', 'peel', 'pinche', 'maritime', 'salt', 'kipper', 'seaweed', 'long', 'finish', 'bonfire_ember', 'toast', 'malt', 'sugar', 'underlay']"
44,Laphroaig 10 Year Old Sherry Oak Finish,68.74,Islay Whisky,Laphroaig,Laphroaig,10.0,48.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['roasted', 'cedar', 'peat_smoke', 'iodine', 'away', 'dark_chocolate', 'honey', 'vanilla_pod', 'meat', 'maple_syrup', 'bbq', 'lemon', 'charred_oak', 'smidge', 'coffee', 'balanced', 'finish', 'sherry', 'sweet', 'smouldering', 'peat']"
45,Seaweed & Aeons & Digging & Fire & Sherry Casks & Cask Strength 10 Year Old (Batch 02),68.74,Islay Whisky,Seaweed & Aeons & Digging & Fire,Seaweed & Aeons & Digging & Fire,10.0,55.3,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['fruit', 'fore', 'cherry', 'chew', 'raisin', 'powerfully', 'flash', 'cinnamon', 'caraway', 'later', 'wave', 'vegetal', 'peat', 'arrive', 'swiftly', 'fruit', 'cake', 'chocolate', 'plus', 'sea_shell', 'seville_orange', 'marmalade', 'peanut', 'shell', 'smidge', 'charred', 'oak', 'chocolate', 'mocha']"
46,Kilchoman Sanaig,54.39,Islay Whisky,Kilchoman,Kilchoman,,46.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['light', 'fruit', 'time', 'peach', 'variety', 'dark_chocolate', 'raisin', 'red_berry', 'peat', 'black_pepper', 'pineapple_chunk', 'white_grape', 'fresh', 'coffee', 'earth', 'subtly', 'peat', 'toffee', 'cube', 'long', 'coastal', 'peat']"
47,Talisker 18 Year Old,87.08,Island Whisky,Talisker,Talisker,18.0,45.8,,,,,,,,,,,,,,,"['thick', 'rich', 'body', 'pepper', 'oak', 'espresso_bean', 'wood', 'smoke', 'allspice', 'certain', 'zest', 'character', 'spice', 'utter', 'intent', 'clean', 'fresh', 'mixed', 'fruit', 'sweet', 'character', 'peat_smoke', 'perfume', 'thick', 'oak', 'calvados', 'ground', 'ginger', 'long', 'pepper', 'oak']"
48,Oban 14 Year Old,53.77,Highland Whisky,Oban,Oban,14.0,43.0,,,,,,,,,,,,,,,"['cream', 'marmalade', 'toffee', 'apple', 'pear', 'cider', 'development', 'clove', 'late', 'maritime', 'plaster', 'toffee', 'brittle', 'long', 'malt', 'finish', 'toast', 'oak', 'spice']"
49,Highland Park Cask Strength - Release No.2,68.74,Island Whisky,Highland Park,Highland Park,,63.9,,True,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['savoury', 'peat', 'smidge', 'liquorice', 'plus', 'thick', 'honey', 'crunchy', 'red', 'apple', 'cassia', 'roast_chestnut', 'pear_drop', 'earth', 'smoke', 'caraway', 'almond', 'chocolate', 'red_chilli', 'flake', 'oak']"
50,Clynelish 14 Year Old,50.28,Highland Whisky,Clynelish,Clynelish,14.0,46.0,,,,,,,,,,,,,,,"['light', 'great', 'orange', 'soft', 'dry', 'oak', 'mixed', 'fruit', 'vanilla', 'leather', 'zest', 'mandarin', 'tangerine', 'long', 'bitter', 'sweet', 'oak']"
51,Kilchoman Machir Bay,49.3,Islay Whisky,Kilchoman,Kilchoman,,46.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['generous', 'burst', 'tropical_fruit', 'raisin', 'smoke', 'playfully', 'citrus', 'zest', 'crumbly', 'vanilla', 'biscuit', 'layer', 'elegant', 'peat_smoke', 'sherry', 'fruit', 'sprinkle', 'black_pepper']"
52,Bruichladdich 16 Year Old 2002 - Single Cask (Master of Malt),249.91,Islay Whisky,Bruichladdich,Master of Malt,16.0,62.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['toasted', 'barley', 'brown_sugar', 'vanilla', 'lemon', 'peel', 'lead', 'plenty', 'earth', 'spice', 'oak', 'shaving', 'underneath', 'apple', 'pear', 'golden_syrup', 'steamed', 'pudding', 'thick', 'vanilla', 'almond', 'freshly', 'polished', 'wood', 'light', 'wood_smoke', 'citrus', 'sweet', 'vanilla', 'y', 'barley']"
53,Mortlach 13 Year Old (Special Release 2021),154.79,Speyside Whisky,Mortlach,Mortlach,13.0,55.9,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['thick', 'texture', 'whisky', 'big_bold', 'flavour', 'overwhelming', 'toffee', 'red_berry', 'aromatic', 'wood', 'sweet', 'bbq', 'aromatic', 'mint']"
54,Ledaig Rioja Cask Finish - Sinclair Series,38.92,Island Whisky,Tobermory,Tobermory,,46.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['grass', 'peat', 'plum', 'raspberry', 'almond', 'dark_chocolate', 'red_grape', 'cinnamon', 'petal_jelly', 'wave', 'coastal', 'smoke', 'salted_caramel', 'cherry', 'clove']"
55,Old Pulteney 12 Year Old,33.82,Highland Whisky,Pulteney,Pulteney,12.0,40.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['chocolate', 'peanut', 'mint', 'citrus', 'peel', 'maritime', 'element', 'white_pepper', 'honeycomb', 'vanilla', 'tablet', 'soft', 'sawdust', 'oak', 'oatcake', 'toffee', 'brine', 'lemon']"
56,Arran Bodega Sherry Cask,60.65,Island Whisky,Arran,Arran,,55.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['load', 'juicy', 'sherry_influence', 'chocolate', 'cherry', 'raisin', 'caramel', 'orange', 'chocolate', 'christmas', 'spice', 'lot', 'fruit', 'toast', 'oak', 'oak', 'spice', 'dark_chocolate', 'praline', 'oak', 'char']"
57,Fettercairn 12 Year Old,44.66,Highland Whisky,Fettercairn,Fettercairn,12.0,40.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['tropical_fruit', 'stick', 'jamaican', 'ginger', 'cake', 'sweet', 'depth', 'flicker', 'bitter', 'herb', 'vanilla', 'complement', 'refreshing', 'nectarine', 'white', 'flower', 'milk_chocolate', 'initially', 'black', 'toffee', 'subtle', 'roasted_coffee', 'dark', 'orchard_fruit', 'soft', 'spice']"
